Word,Meanings
ਅਇਆਨੇ,['ਹੇ ਅੰਞਾਣ!']
ਅਈਆ,"['ਆ ਪਿਆ ਹੈ', 'ਇਸਤ੍ਰੀ']"
ਅਈਏ ਮਈਏ,['ਇਸਤ੍ਰੀ ਮਰਦ ਵਿਚ']
ਅਉ,"['ਅਉਰ', 'ਅਤੇ']"
ਅਉਖਦ,"['ਨਾਮ-ਦਾਰੂ', 'ਦਵਾਈ']"
ਅਉਖਦੁ,['ਦਵਾਈ']
ਅਉਖਧ,"['ਇਲਾਜ', 'ਦਵਾਈਆਂ', 'ਦਵਾਈ', 'ਜੜੀ-ਬੂਟੀ']"
ਅਉਖਧ ਮੂਲ,['ਸਭ ਦਵਾਈਆਂ ਦਾ ਮੂਲ']
ਅਉਖਧ ਮੂਲੁ,"['ਦਵਾਈਆਂ ਦਾ ਮੂਲ', 'ਸਭ ਤੋਂ ਵਧੀਆ ਦਵਾਈ']"
ਅਉਖਧੁ,"['ਦਾਰੂ', 'ਦਵਾਈ']"
ਅਉਖੀ,['ਦੁੱਖ ਦੇਣ ਵਾਲੀ']
ਅਉਖੀਵਨਾ,['ਘਟ ਜਾਣੀ']
ਅਉਖੇ,['ਦੁਖੀ']
ਅਉਗਣਿਆਰੀ,['ਔਗੁਣਾਂ-ਭਰੀ']
ਅਉਗਣਿਆਰੇ,"['ਔਗੁਣੀ', 'ਗੁਣ-ਹੀਣ']"
ਅਉਗਣੁ ਕੋ,['ਕੋਈ ਭੀ ਔਗੁਣ']
ਅਉਗਨ,"['ਔਗਿਣਆਰ', 'ਮੰਦ-ਕਰਮੀ']"
ਅਉਗੁਣ,"['ਵਿਕਾਰ', 'ਪਾਪ']"
ਅਉਗੁਣਿ,['ਔਗੁਣ ਵਿਚ']
ਅਉਘਟ,['ਔਖੇ']
ਅਉਘਟ ਕੀ ਘਟ,['ਔਖੀ ਘੜੀ']
ਅਉਘਟ ਘਾਟ,['ਔਖਾ ਰਸਤਾ']
ਅਉਘਟੁ,['ਔਖਿਆਈ']
ਅਉਤਰਾਸੀ,"['ਅਵਤਾਰ ਲਿਆ', 'ਉਤਰਿਆ']"
ਅਉਤਰਿਆ,['ਜੰਮਿਆ ਹੈ']
ਅਉਤਰੈ,"['ਉਤਰਦੀ ਹੈ', 'ਜੰਮਦਾ ਹੈ', 'ਜੰਮਦੀ ਹੈ']"
ਅਉਤਾਕੁ,['ਬੈਠਕ']
ਅਉਤਾਰ,"['ਉਤਰਨ ਵਾਲੇ', 'ਜਨਮ', 'ਜਨਮ ਲੈਣ ਵਾਲੇ']"
ਅਉਤਾਰਾ,['ਜਨਮ']
